Hiragana,Meaning
あ,a
い,i
う,u
え,e
お,o
か,ka
き,ki
く,ku
け,ke
こ,ko
さ,sa
し,shi
す,su
せ,se
そ,so
た,ta
ち,chi
つ,tsu
て,te
と,to
ま,ma
み,mi
む,mu
め,me
も,mo
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ひ,hi
ふ,fu/hu
へ,he
ほ,ho
ら,ra
り,ri
る,ru
れ,re
ろ,ro
や,ya
ゆ,yu
よ,yo
わ,wa
を,wo/o
ん,n
が,ga
ぎ,gi
ぐ,gu
げ,ge
ご,go
ざ,za
じ,ji
ず,zu
ぜ,ze
ぞ,zo
だ,da
ぢ,ji/di
づ,zu/dzu
で,de
ど,do
ば,ba
び,bi
ぶ,bu
べ,be
ぼ,bo
ぱ,pa
ぴ,pi
ぷ,pu
ぺ,pe
ぽ,po
